id;name;sn;tel;address;province;city;district;offset_type;longitude;latitude
1;Summit Buckinghamshi;port;fault-tolerant Distr;auxiliary Chips;input Intelligent mo;Lake Naomi;Frozen;BAIDU;61929;31543
2;content-based;best-of-breed THX red;Monitored Savings Ac;Table digital;open-source Money Ma;West Steveville;Money Market Account;MAPBAR;12311;93139
3;Gorgeous Cotton Keyb;Technician interface;integrated;hacking Granite bandwidth;Virginia Indiana;Janickview;Sleek Wooden Chicken;BAIDU;72459;42479
4;Senior Dynamic;Incredible Metal Pizza Interna;Sleek Steel Bike;deposit;Haven content-based;Aaliyahberg;system;MERCATOR;36184;27704
5;Belize Dollar Invest;Fantastic deposit Chips;Unbranded Rubber Che;back-end Mongolia;Handcrafted Cotton S;South Anderson;Face to face;SOGOU;23348;1170
6;Bedfordshire;Operations Object-based EXE;ivory;challenge Ergonomic;Berkshire;East Hassieton;Table system;MARS;83014;41216
7;Borders withdrawal I;transmit Balanced e-tailers;AGP overriding Home;Zloty;Fantastic Frozen Tab;South Bettie;Checking Account mid;SOGOU;32792;14794
8;sensor;Integration payment Bike;hack;Rubber;Quality;East Kenton;Guinea-Bissau;SOGOU;16394;72887
9;collaboration Multi-;Human;Cheese Small Rubber ;Plastic;monetize;Lake Aureliofurt;Republic of Korea Re;SOGOU;52244;35583
10;Generic Steel Cheese;Monitored;Awesome Granite Shoe;Fantastic Beauty connecting;magnetic;Padbergfort;Principal mobile;BAIDU;61381;30750
